HANDLE,Lon,Lat,Rating,SITEADDR,LANDUSE1,ASRUSE1,BDG1YEAR,BDG1EXWALL,MatchLevel
14448060270,-90.24100492,38.66911884,Negligible to Slight,3505 N TAYLOR AV,1110,1110,1895,31,8
14448060260,-90.24095566,38.66919248,Negligible to Slight,3507 N TAYLOR AV,1010,1010,0,0,8
14448060225,-90.24076662,38.66948394,Negligible to Slight,3519 N TAYLOR AV,1010,1010,0,0,5
14448060230,-90.24079935,38.66941062,Negligible to Slight,3517 N TAYLOR AV,1110,1110,1895,31,8
14448060240,-90.24084418,38.66934587,Negligible to Slight,3513 N TAYLOR AV,1110,1110,1895,31,7
14448060200,-90.24065511,38.66961255,Negligible to Slight,3525 N TAYLOR AV,1110,1110,1895,31,7
14448060190,-90.24059614,38.66968152,Negligible to Slight,3527 N TAYLOR AV,1110,1110,1895,31,7
14448060180,-90.2405517,38.66974576,Negligible to Slight,3531 N TAYLOR AV,1110,1110,1895,31,8
14448060170,-90.24050337,38.66981413,Moderate,3533 N TAYLOR AV,1110,1110,1895,31,7
14448060160,-90.24045587,38.6698748,Substantial to Heavy,3537 N TAYLOR AV,1120,1120,1910,31,8
14448060160,-90.24043013,38.66993774,Moderate,3537 N TAYLOR AV,1120,1120,1910,31,8
14448060150,-90.2408424,38.67002208,Moderate,4514 LEXINGTON AV,1110,1110,1911,31,12
14448060130,-90.24101347,38.67010763,Negligible to Slight,4520 LEXINGTON AV,1120,1120,1924,31,12
14448060120,-90.241098,38.67013065,Moderate,4524 LEXINGTON AV,1120,1120,1924,31,11
14448060110,-90.24120557,38.67016943,Moderate,4526 LEXINGTON AV,1120,1120,1924,31,12
14448060100,-90.2412837,38.67020532,Destruction,4530 LEXINGTON AV,1120,1120,1911,31,11
14448060080,-90.24147818,38.67028095,Negligible to Slight,4534 LEXINGTON AV,1110,1110,1911,31,11
14448060310,-90.24154374,38.66947836,Very Heavy,4523 ASHLAND AV,1120,1120,1892,31,6
14448060320,-90.24176897,38.66956397,Substantial to Heavy,4531 ASHLAND AV,1120,1120,1909,31,6
14448060330,-90.24186129,38.66959187,Destruction,4533 ASHLAND AV,1120,1120,1909,31,7
14448060360,-90.24216303,38.66971845,Substantial to Heavy,4543 ASHLAND AV,1120,1120,1911,31,8
14448060370,-90.24226448,38.66975718,Substantial to Heavy,4545 ASHLAND AV,1120,1120,1911,31,8
14448060350,-90.2420721,38.66969317,Very Heavy,4541 ASHLAND AV,1110,1110,1923,31,7
14448060020,-90.24217631,38.670578,Very Heavy,4560 LEXINGTON AV,1140,1140,1924,31,12
14448060030,-90.24199506,38.67054424,Substantial to Heavy,4554 LEXINGTON AV,1110,1110,1923,31,13
14448060040,-90.24190333,38.67049131,Destruction,4550 LEXINGTON AV,1120,1120,1915,31,12
14448060010,-90.24231303,38.67062773,Substantial to Heavy,4562 LEXINGTON AV,1140,1140,1924,31,11
14448060380,-90.24235895,38.66980961,Moderate,4549 ASHLAND AV,1120,1120,1911,31,7
14448060390,-90.24244814,38.66984745,Moderate,4553 ASHLAND AV,1120,1120,1911,31,8
14448060400,-90.24255305,38.66989008,Moderate,4555 ASHLAND AV,1120,1110,1911,31,8
14448060410,-90.24264887,38.66993592,Moderate,4559 ASHLAND AV,1120,1120,1909,31,7
14448060420,-90.24276708,38.66998078,Substantial to Heavy,4561 ASHLAND AV,1120,1120,1909,31,7
14449010060,-90.24251282,38.67079066,Moderate,4606 LEXINGTON AV,1110,1110,1924,31,13
14449010030,-90.24269394,38.67086635,Negligible to Slight,4614 LEXINGTON AV,1010,1010,0,0,14
14449010050,-90.24260795,38.67082905,Negligible to Slight,4608 LEXINGTON AV,1110,1110,1895,31,13
14449010140,-90.24328695,38.67020238,Negligible to Slight,4615 ASHLAND AV,1110,1110,1914,31,8
14449010110,-90.24302039,38.67009775,Negligible to Slight,4607 ASHLAND AV,1110,1110,1914,31,7
14449010090,-90.24285182,38.67002033,Moderate,4601 ASHLAND AV,1110,1110,1914,31,7
14449010010,-90.2428667,38.67094681,Negligible to Slight,4620 LEXINGTON AV,1010,1010,0,0,14
14449010170,-90.24372642,38.67028764,Negligible to Slight,3500 CORA AV,1110,1110,1917,31,4
14462050040,-90.24376396,38.66991587,Negligible to Slight,4620 ASHLAND AV,1110,1110,1919,31,8
14462050050,-90.24368502,38.6698718,Negligible to Slight,4618 ASHLAND AV,1110,1110,1919,31,7
14462050060,-90.24358179,38.66983789,Negligible to Slight,4616 ASHLAND AV,1110,1110,1919,31,7
14462050070,-90.24348571,38.66981855,Moderate,4614 ASHLAND AV,1110,1110,1919,31,9
14462050080,-90.2434007,38.66975833,Substantial to Heavy,4612 ASHLAND AV,1110,1110,1913,31,7
14462050090,-90.24329864,38.66973584,Very Heavy,4608 ASHLAND AV,1110,1110,1885,32,9
14462050030,-90.24383352,38.6699593,Negligible to Slight,4624 ASHLAND AV,1110,1010,0,0,8
14462050600,-90.24436358,38.66955304,Substantial to Heavy,4629 ELMBANK AV,1110,1110,1923,31,5
14462050590,-90.2442907,38.66949841,Moderate,4627 ELMBANK AV,1110,1110,1924,31,6
14462050580,-90.24416119,38.66946989,Substantial to Heavy,4623 ELMBANK AV,1110,1110,1924,31,5
14462050570,-90.24410414,38.66942942,Negligible to Slight,4621 ELMBANK AV,1110,1110,1928,31,5
14462050560,-90.24403569,38.66941017,Moderate,4619 ELMBANK AV,1110,1110,1930,31,6
14462050550,-90.24392462,38.66937364,Substantial to Heavy,4615 ELMBANK AV,1120,1120,1928,31,4
14462050540,-90.24383498,38.66931313,Destruction,4611-3 ELMBANK AV,1140,1140,1928,31,5
14462050530,-90.24370142,38.66926343,Negligible to Slight,4607-9 ELMBANK AV,1140,1140,1928,31,5
14462050520,-90.24359099,38.66921753,Negligible to Slight,4605 ELMBANK AV,1120,1120,1925,31,5
14462050500,-90.24336965,38.66907035,Negligible to Slight,4561 ELMBANK AV,1110,1110,1919,31,9
14462050485,-90.24321865,38.66905019,Negligible to Slight,4557 ELMBANK AV,1110,1110,1957,31,11
14462050100,-90.24319549,38.66967489,Very Heavy,4604 ASHLAND AV,1120,1120,1929,31,7
14462050110,-90.24311132,38.66963247,Very Heavy,4600-2 ASHLAND AV,1140,1140,1929,31,7
